time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.9659,0.00101632,0.000622882,-0.000727851
20.9759,-0.000295097,0.00105128,0.000660714
20.9859,-1.96112e-05,0.00198321,-0.000315819
20.9959,0.00030165,0.00250317,-0.000193727
21.006,-0.000307869,0.0017414,8.09524e-05
21.016,-0.000383334,0.00171206,-0.000407303
21.026,-0.000229919,0.00156065,0.000386171
21.036,-0.000305385,0.00198907,-0.00133804
21.046,-0.000914905,0.0023107,9.6299e-05
21.0561,-0.000517352,0.00232715,-0.000697131
21.0661,-0.000135058,0.000832999,-0.000514006
21.0761,0.000216718,0.00089524,0.000889814
21.0861,0.000370131,0.00188827,8.11236e-05
21.0962,-0.000269908,0.000958704,-0.000498686
21.1062,-0.000192789,0.00160079,0.000554183
21.1162,-0.000222481,0.0013121,0.00046265
21.1262,0.000297139,0.00157274,-0.000910613
21.1362,0.00069469,0.000475351,-0.00155146
21.1463,-0.000509922,0.00123953,-0.00062066
21.1563,-0.000310735,0.00156121,0.000951003
21.1663,-0.000477757,0.000631691,0.000661106
21.1763,-0.00040064,0.00156373,-2.55173e-05
21.1864,-0.00035404,0.00235845,-0.000574813
21.1964,-0.000566839,0.00150524,-0.000605313
21.2064,-0.000184549,0.00205583,-0.000483227
21.2164,0.000350327,0.00190453,-0.000422176
21.2264,0.000213821,0.00120392,-0.00065104
21.2365,-0.000380445,0.00122047,0.000172945
21.2465,-0.000181261,0.00167954,0.000447617
21.2565,-0.000317768,0.00183343,0.000249269
21.2665,-0.000286429,0.00207888,0.00105799
21.2765,-0.000133021,0.00105787,0.00131741
21.2866,0.000157714,0.00173057,-0.000910348
21.2966,-0.000314484,0.000862158,-0.000696712
21.3066,0.000601857,0.00116867,0.000371409
21.3166,0.000846816,0.000742765,-0.000162632
21.3267,0.000267806,0.000911957,-0.000879777
21.3367,-6.70661e-05,0.00179831,-0.00100183
21.3467,-0.000524008,0.00164708,3.57685e-05
21.3567,-0.000263791,0.00149586,-0.000635602
21.3667,-0.000293489,0.00151249,2.05331e-05
21.3768,-0.000674138,0.00116291,-0.000101525
21.3868,-0.000124007,0.000950672,3.58136e-05
21.3968,-0.000535174,0.00136404,0.000295222
21.4068,-0.000198665,0.000907674,-0.000711842
21.4169,-0.000457245,0.000954847,-0.000284589
21.4269,-0.00042591,0.00116987,-0.000284579
21.4369,-0.000211471,0.000789813,0.000966642
21.4469,-0.000347982,0.0022408,9.69053e-05
21.4569,-0.000576046,0.00195231,0.000310535
21.467,-0.000163244,0.0013739,-0.000681272
21.477,5.11937e-05,0.00102438,-0.000818592
21.487,-9.02485e-06,0.00209393,0.000600473
21.497,-0.000191313,0.00133244,-0.000696509
21.5071,-0.000571965,0.000403106,-0.000254001
21.5171,-0.000998392,0.00182362,0.000112214
21.5271,9.49669e-06,0.00155042,0.000447911
21.5371,-0.000233827,0.000636364,-0.000620192
21.5471,-0.000599221,0.0010193,0.000600508
21.5572,0.000118753,0.00170742,0.000569995
21.5672,0.000851984,0.00131218,-0.000696472
21.5772,0.00060866,0.000825386,-0.000711727
21.5872,0.000105937,0.00142197,0.000249573
21.5972,0.000289856,0.00191175,-0.000467582
21.6073,0.000138083,0.00128764,0.000188544
21.6173,-7.47249e-05,0.00162485,-0.000421801
21.6273,2.38215e-06,0.00124489,-0.000955854
21.6373,-0.00129379,0.00115486,0.000188549
21.6474,-0.000728408,0.0017057,-0.000116624
21.6574,-0.000330869,0.00074594,0.00043269
21.6674,-0.000391091,0.0012205,0.000234327
21.6774,-0.000344502,0.00134411,-0.000208176
21.6874,6.82952e-05,0.00110152,0.000386913
21.6975,-0.000175031,0.00247636,-0.00101689
21.7075,0.000436129,0.00198965,-0.000345507
21.7175,0.000391165,0.00138086,0.00035639
21.7275,0.000269907,0.00136718,-0.00116948
21.7376,0.000423306,0.00202488,0.000524231
21.7476,0.000668257,0.00181284,0.000737849
21.7576,-0.000200677,0.00172288,-0.000208194
21.7676,-0.000535557,0.000900508,-0.000788028
21.7776,2.98261e-05,0.00171082,-0.000681222
21.7877,0.000290035,0.00120889,0.000646279
21.7977,-0.000548382,0.00127154,-0.000376059
21.8077,-0.000166104,0.00197505,-8.61495e-05
21.8177,-0.000256845,0.00206823,0.000249535
21.8278,0.000262761,0.00162736,-9.86937e-06
21.8378,-0.000117896,0.00197994,0.000737799
21.8478,0.000508521,0.00164589,-0.000330317
21.8578,-0.000101017,0.0023647,3.58832e-05
21.8678,0.000586435,0.00145083,0.00105821
21.8779,0.000297329,0.000567483,0.000844576
21.8879,-0.000312208,0.00125579,-0.000116731
21.8979,-0.000372433,0.0012422,6.63627e-05
21.9079,-0.000478434,0.00232724,-0.000391409
21.918,-0.000920127,0.00231366,-0.000650817
21.928,-0.000415781,0.00219328,8.1588e-05
21.938,0.000347963,0.00158462,9.68346e-05
21.948,0.00155421,0.000945456,6.63046e-05
21.958,-0.00033706,0.00166432,0.000264654
21.9681,-0.000702459,0.00136085,0.000127313
21.9781,-0.000564322,0.00125576,-0.000956068
21.9881,-0.000502479,0.00134903,-0.00123074
21.9981,-0.000867879,0.00241886,0.00168365
22.0081,-0.000729742,0.00274103,0.00131743
22.0182,-0.000622123,0.00214768,0.00020353
22.0282,-0.000377175,0.00199683,0.00070705
22.0382,-0.000544213,0.00134246,-0.000940905
22.0482,-5.51266e-05,0.00169516,-0.000223765
22.0583,5.24922e-05,0.00239882,0.000111908
22.0683,0.000251663,0.00209541,-0.00059001
22.0783,0.000588162,0.00119692,0.000218681
22.0883,-0.000555432,0.0011224,-0.000300134
22.0983,0.000162534,0.00223807,0.000172865
22.1084,0.000361705,0.00127856,4.998e-06
22.1184,0.000469323,0.00128036,0.000951015
22.1284,-4.8665e-05,0.0010075,0.000340646
22.1384,-0.000658205,0.00194008,-1.0327e-05
22.1485,-0.000245413,0.00180457,0.000599997
22.1585,-0.000305641,0.00124181,-0.000193478
22.1685,6.13746e-05,0.001442,2.0119e-05
22.1785,-0.000212475,0.00238986,0.00113398
22.1885,-0.000623653,0.00196445,-0.000529244
22.1986,-0.00010405,0.000516717,-0.00101755
22.2086,-0.000484711,0.00131201,0.000538811
22.2186,0.000202737,0.00236671,0.00121017
22.2286,5.09565e-05,0.00152934,0.000233582
22.2387,0.000158574,0.00131758,-0.000407311
22.2487,0.000250932,0.00225023,-0.000285271
22.2587,-0.000556972,0.00226736,0.000340306
22.2687,-3.73701e-05,0.00164363,-0.000346365
22.2787,-0.000143375,0.00167603,9.61057e-05
22.2888,-9.67925e-05,0.00137275,0.000279178
22.2988,0.000605913,0.000871106,6.55246e-05
22.3088,-0.000263026,0.00166646,0.000492735
22.3188,0.000226058,0.00145474,0.000492702
22.3288,-0.000627623,0.00189916,-0.000514406
22.3389,5.9824e-05,0.000756674,0.000309529
22.3489,0.000533649,0.00107903,0.000706219
22.3589,0.000458161,0.00130984,-0.000392442
22.3689,1.20621e-06,0.00064039,-0.00014834
22.379,-0.000684629,0.00206139,-0.000789242
22.389,-0.000363391,0.00209385,0.000522967
22.399,-5.74122e-05,0.00174485,-0.000285782
22.409,0.000614775,0.0020825,-0.000575737
22.419,0.000585063,0.00148937,-0.000758881
22.4291,0.000128108,0.00184229,4.9789e-05
22.4391,-0.000191519,0.00185952,-0.000148615
22.4491,-0.000175456,0.00143426,-0.000652194
22.4591,0.000267851,0.00105478,0.000476906
22.4692,-0.000829969,0.00201806,0.00148394
22.4792,-0.000722354,0.00237101,-0.000301375
22.4892,5.66444e-05,0.00186947,-0.000652369
22.4992,0.000332106,0.00255812,-0.000209913
22.5092,-0.000323213,0.0017209,-0.000423581
22.5193,-0.000474996,0.00121939,-0.00016423
22.5293,0.000181933,0.00196908,0.000324
22.5393,-0.000137695,0.000567314,-0.000149068
22.5493,-9.11148e-05,0.0016222,-0.000210152
22.5594,-0.000548071,0.00147165,0.000278076
22.5694,-0.000120023,0.00226715,1.86276e-05
22.5794,-0.000271806,0.000987468,-0.000561254
22.5894,-0.000301519,0.00175246,0.000155852
22.5994,-0.000392267,0.00117469,-0.000637653
22.6095,2.05217e-05,0.0011615,-0.00121754
22.6195,3.65844e-05,0.00154504,0.000125173
22.6295,-0.000206751,0.00218798,-0.000286867
22.6395,5.34511e-05,0.00177808,-0.000134336
22.6496,-0.000800232,0.00159707,9.44871e-05
22.6596,-0.000906239,0.00243839,0.000338568
22.6696,-0.000340863,0.00108246,-0.000821151
22.6796,-0.000355318,0.00161862,-7.35343e-05
22.6896,-0.000247704,0.00253626,0.000811409
22.6997,0.000516034,0.0021569,-0.000287277
22.7097,-0.000200321,0.00206747,-0.000287339
22.7197,-0.000321587,0.00106253,0.000765448
22.7297,-0.000229231,0.000698452,-0.000241689
22.7397,-0.000335239,0.0015093,0.000353335
22.7498,-0.000212366,0.00148093,0.000322752
22.7598,0.000246198,0.00189506,-0.000409731
22.7698,0.000277519,0.000966433,-0.000486091
22.7798,0.000400391,0.0011517,-0.00118806
22.7899,0.000858955,0.00168792,-0.000333641
22.7999,0.000188375,0.00159853,0.000658104
22.8099,-0.00113833,0.00166174,0.000429153
22.8199,0.000418861,0.00106884,-0.000700061
22.8299,-0.000480598,0.00134568,-0.00074591
22.84,-0.000495054,0.00165304,0.000413678
22.85,-0.000219595,0.00109067,-0.000105192
22.86,0.000528883,0.00156589,-0.000715615
22.87,-0.000141697,0.00190379,-0.00083776
22.8801,-0.000247705,0.00131091,-0.00105146
22.8901,0.000744912,0.00177089,-0.00031912
22.9001,0.000425282,0.00189518,-0.000609114
22.9101,0.000532895,0.00183638,-0.000365054
22.9201,-0.000229238,0.00304405,0.000886077
22.9302,-0.000747231,0.00257327,9.25438e-05
22.9402,9.27987e-05,0.000774988,-6.01258e-05
22.9502,0.00033774,0.001235,0.00106893
22.9602,0.000262248,0.00116096,0.000275397
22.9703,-0.000530402,0.0027959,-0.000197708
22.9803,0.000462214,0.00208101,-0.000853918
22.9903,-0.000177849,0.0017781,-9.10718e-05
23.0003,-7.02368e-05,0.00159727,0.000122461
23.0103,0.00022048,0.00178266,0.000168147
23.0204,0.000144987,0.00170865,0.000732628
23.0304,-0.000937578,0.00151258,0.000244258
23.0404,-0.00130299,0.000904528,-0.00108334
23.0504,-0.000173042,0.00151718,0.000411917
23.0605,0.000682246,0.00100069,0.000869583
23.0705,0.000835634,0.00204059,6.0776e-05
23.0805,-6.38284e-05,0.00214972,-0.000656479
23.0905,0.000165853,0.0021673,-0.000107265
23.1005,-0.000779386,0.0017729,-0.000107364
23.1106,-0.000214014,0.00142428,0.000350296
23.1206,0.000488686,0.00170128,0.000655368
23.1306,7.75019e-05,0.00161207,-0.000275515
23.1406,0.000368217,0.00204166,-0.000290877
23.1506,-4.29675e-05,0.000899606,0.000182037
23.1607,-0.000652515,0.00117662,0.00121952
23.1707,-0.000926372,0.00218606,0.000624326
23.1807,3.57253e-05,0.000342121,0.000334302
23.1907,0.000372216,0.00170252,-0.000337189
23.2008,-0.000130521,0.00185748,0.000669773
23.2108,0.00118253,0.00111219,-0.000352671
23.2208,-6.78882e-05,0.00192328,0.000150753
23.2308,0.000268602,0.00146792,0.000196415
23.2408,0.000299918,0.00032591,-0.00062767
23.2509,0.000163389,0.00127435,0.000272476
23.2609,0.000377809,0.0021465,-0.000460059
23.2709,0.00011921,0.00161486,-2.41771e-06
23.2809,0.00033363,0.0015715,0.000348412
23.291,-3.17804e-05,0.00119245,0.000149927
23.301,0.00143385,0.000691343,0.000622823
23.311,0.00103792,0.00247904,0.000973649
