time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.981,0.00572498,-0.006414,-0.00243433
20.991,0.0060933,-0.0063155,-0.00213206
21.001,0.00583596,-0.0052862,-0.00179928
21.011,0.00515133,-0.00649992,0.000379812
21.021,0.0054432,-0.00566894,0.000224324
21.031,0.00448382,-0.00686735,-0.00177746
21.041,0.00569111,-0.00544125,-0.00123105
21.051,0.0038161,-0.00471703,-0.00291239
21.061,0.00416881,-0.0059459,-0.00244227
21.071,0.0052081,-0.00584724,-0.00049204
21.081,0.00694925,-0.00670986,-0.00121208
21.091,0.00521136,-0.00471909,-0.0019779
21.101,0.00579274,-0.00677184,0.000979409
21.111,0.00439043,-0.00560499,3.04963e-05
21.121,0.00446817,-0.00564355,-0.00302411
21.131,0.00623956,-0.00514803,-0.0016537
21.141,0.00511175,-0.00741432,-0.000786816
21.151,0.00689829,-0.00467573,0.000675158
21.161,0.00395459,-0.00533981,-0.000655204
21.171,0.00360481,-0.00662946,-0.000764866
21.181,0.00600153,-0.00790384,-0.00217151
21.191,0.00662819,-0.00656895,-0.00305936
21.201,0.0057747,-0.00476102,-7.14967e-05
21.211,0.00547047,-0.00453997,-0.00207322
21.221,0.00426591,-0.00659244,-0.000458628
21.231,0.00426674,-0.00660021,-0.000461453
21.241,0.00664786,-0.00505158,-0.00301247
21.251,0.00565675,-0.00623422,-0.0010927
21.261,0.00594731,-0.00567734,-0.00182792
21.271,0.00484928,-0.00748554,-9.12369e-05
21.281,0.0058874,-0.00607412,-0.00454957
21.291,0.0048045,-0.00345724,0.00124593
21.301,0.00697164,-0.00613509,0.00049547
21.311,0.00721612,-0.00690558,-0.00370345
21.321,0.00433251,-0.00701992,0.000947671
21.331,0.00508041,-0.00518111,-0.00152701
21.341,0.00559936,-0.00552427,-0.00416953
21.351,0.00505015,-0.00661507,-0.00177667
21.361,0.00393629,-0.00482195,-0.000558727
21.371,0.00529428,-0.00563804,-0.00185846
21.381,0.0039972,-0.00714073,-0.000365848
21.391,0.00475997,-0.00621726,-0.00184867
21.401,0.00434776,-0.0072011,-0.000233977
21.411,0.00478997,-0.00603343,0.000617791
21.421,0.00471332,-0.00446899,-0.00142958
21.431,0.0047129,-0.0053154,-0.00166117
21.441,0.00559741,-0.00535307,-0.00203007
21.451,0.00455926,-0.0039869,-0.00169707
21.461,0.0045739,-0.00602338,-0.00166923
21.471,0.00614485,-0.00685439,-0.00292312
21.481,0.00542693,-0.00707502,-0.000240253
21.491,0.0060517,-0.00570871,-0.000532825
21.501,0.00536416,-0.00721099,-0.000398144
21.511,0.00475284,-0.00520375,0.000102753
21.521,0.00455344,-0.00722475,-0.00101376
21.531,0.00667328,-0.00552261,-0.00129104
21.541,0.00433752,-0.00699423,-0.00367401
21.551,0.0055417,-0.00805382,-0.00285264
