time (sec),X vibration (g),Y vibration (g),Z vibration (g)
21.0057,0.00100217,0.00454586,-0.00238545
21.0157,0.000243524,0.00357561,-0.00187332
21.0257,-0.000286422,0.00309365,-0.00039972
21.0357,0.00214363,0.0038324,-0.00205398
21.0457,0.00162857,0.00359461,-0.00251789
21.0557,0.000121516,0.0031127,-0.000799641
21.0657,0.000842039,0.00531632,-0.00225502
21.0757,0.000326421,0.00629927,-0.00174186
21.0857,0.00225201,0.00336075,-0.00339526
21.0957,0.00173601,0.00338243,-0.00312589
21.1057,0.000487416,0.00143575,-0.00163564
21.1158,0.000688205,0.00241875,-0.000404626
21.1258,0.00116346,0.00315763,-0.002805
21.1358,0.000402574,0.00218754,-0.00131423
21.1458,-0.00135032,0.00219403,0.000878607
21.1558,-0.000143215,0.0019564,-0.00225366
21.1658,0.00127732,0.00220705,-1.46885e-05
21.1758,-0.000933905,0.00367841,-0.0027041
21.1858,-0.00120747,0.00466151,-0.00243315
21.1958,-3.16474e-05,0.00344738,-0.000926062
21.2058,-0.00102275,0.0044305,-0.00140243
21.2158,-7.61975e-05,0.00321639,-0.00233638
21.2258,0.000381887,0.00395541,-0.00157644
21.2358,-0.000136778,0.00225305,-0.00179288
21.2459,0.00103808,0.0049452,-0.00127672
21.2559,0.000778421,0.0044483,-0.00295763
21.2659,0.000259174,0.00324952,-0.00146456
21.2759,0.0014487,0.00252377,-0.00140562
21.2859,-0.00102405,0.00253045,-0.00165168
21.2959,0.000882253,0.00424611,0.000330208
21.3059,-0.00181977,0.00327626,-0.00136507
21.3159,0.000589675,0.00644153,-0.00229722
21.3259,-0.000174886,0.0057311,-0.00106247
21.3359,-0.000207226,0.00573785,-0.00103297
21.3459,0.000721534,0.00501219,0.00096508
21.3559,0.000688799,0.00501896,0.000994941
21.3659,0.000182847,0.00331678,-0.00140115
21.3759,-0.0018034,0.00648212,-0.00214912
21.386,-0.00183672,0.00648893,-0.00211871
21.396,8.2861e-05,0.00333721,-0.00179821
21.406,4.91352e-05,0.00334405,-0.00176744
21.416,0.00146479,0.00164192,0.000720161
21.426,0.000225225,0.00433431,-0.000988196
21.436,-0.000541516,0.00434119,-0.00120102
21.446,-0.000576039,0.00434808,-0.00116952
21.456,-0.00134318,0.00508739,-0.000908959
21.466,-0.000889825,0.00289705,-0.000617697
21.476,-0.000192532,0.00265984,-0.00081453
21.486,-0.000227857,0.00266678,-0.0007823
21.496,0.000453776,0.00511512,0.000455549
21.506,-0.000299109,0.00365725,-0.00122083
21.5161,0.000153241,0.00366422,-0.00166107
21.5261,-0.000615305,0.00562432,-0.00115509
21.5361,-0.000407497,0.00318993,-0.00208324
21.5461,0.000288387,0.00563833,-0.000844471
21.5561,-0.00122844,0.00418052,0.000409737
21.5661,-4.46818e-05,0.00516411,0.000199295
21.5761,-0.00154665,0.0041946,0.000217917
21.5861,-0.00060744,0.00395752,2.31004e-05
21.5961,-0.00162154,0.00420873,0.000530367
21.6061,-0.00117101,0.00372754,0.000335918
21.6161,0.000271135,0.00446705,-0.00107904
21.6261,-1.11568e-05,0.00276518,-0.000555965
21.6361,0.000667646,0.00399299,0.00143213
21.6461,0.00113262,0.0030083,-0.00217953
21.6562,-0.00061511,0.00327484,-0.000450467
21.6662,-0.000165797,0.00377027,-0.000903212
21.6762,-0.000235483,0.00426571,0.00302347
21.6862,-0.000992013,0.00329633,0.000877378
21.6962,-0.00223702,0.00428007,-0.000581889
21.7062,-0.00107137,0.00404312,0.00142275
21.7162,0.000612882,0.00356205,-0.000219257
21.7262,-0.00286051,0.00283685,0.00148057
21.7362,-0.000459509,0.00259994,0.00130377
21.7462,-0.000973122,0.0021189,-0.0013295
21.7562,-0.00200573,0.00261442,0.00111856
21.7662,-0.00229087,0.0033541,0.00115592
21.7762,-0.00378165,0.00507034,0.000186397
21.7863,-0.00115279,0.00532176,0.000742923
21.7963,-0.00191156,0.00264352,-0.00018046
21.8063,-0.00317407,0.00460393,7.1258e-05
21.8163,-5.75453e-05,0.00387882,0.00111661
21.8263,-0.00399073,0.0048627,0.000865155
21.8363,-0.000859354,0.000963802,0.000232416
21.8463,-0.000413707,0.00463323,1.18421e-05
21.8563,-0.0014331,0.00560187,-0.000696828
21.8663,-0.000987856,0.0031831,-0.000642382
21.8763,-0.00248067,0.00634901,-0.00307492
21.8863,-0.0020511,0.00393026,0.000397833
21.8963,-0.0033307,0.00296109,0.00263481
21.9063,-0.000444881,0.00418918,0.00195757
21.9164,-0.00244205,0.00322002,0.0019824
21.9264,-0.00175389,0.00347157,0.00130551
21.9364,-0.0037362,0.00323486,-0.000134131
21.9464,-0.00207189,0.00421884,0.000150638
21.9564,-0.00164373,0.00520283,0.00141214
21.9664,-0.00313837,0.00423373,0.000964853
21.9764,-0.00173407,0.00448532,0.00150956
21.9864,-0.00225256,0.00449278,0.0012915
21.9964,0.000127902,0.00279128,0.00162294
22.0064,-0.00309178,0.00499601,0.00306845
22.0164,-0.00263432,0.0035234,-0.000521243
22.0264,-0.00341301,0.00501099,0.00168755
22.0364,-0.00126224,0.00575091,0.00102788
22.0464,-0.00350617,0.00331703,0.00129917
22.0565,-0.00355305,0.00283627,0.00183004
22.0665,-0.00263883,0.00455276,0.0018728
22.0765,-0.00293025,0.00480443,0.00289229
22.0865,-0.00345075,0.003103,0.00147057
22.0965,-0.0020336,0.00188985,0.0010561
22.1065,-0.00331743,0.00433879,0.00302215
22.1165,-0.00457095,0.00410221,0.000609141
22.1265,-0.00242197,0.00533047,0.0018889
22.1365,-0.00320287,0.00459036,0.000223914
22.1465,-0.00348042,0.0043538,-0.000708486
22.1565,-0.00330041,0.00340009,0.00154835
22.1665,-0.00263232,0.00340768,0.0037901
22.1765,-0.00341401,0.00463596,0.00284296
22.1866,-0.00247166,0.00342287,0.000705809
22.1966,-0.00398616,0.00634488,0.000476166
22.2066,-0.0011216,0.00612361,0.00348153
22.2166,-0.00384193,0.00491054,0.00253507
22.2266,-0.00291562,0.0039416,0.0016193
22.2366,-0.00491918,0.00419337,0.00139033
22.2466,-0.00399327,0.00346858,0.00242801
22.2566,-0.00306754,0.00347621,0.00151273
22.2666,-0.001669,0.00397213,0.00303902
22.2766,-0.00439049,0.00494107,0.000857613
22.2866,-0.0024888,0.00496398,0.00140768
22.2966,-0.00351696,0.0035068,0.0029192
22.3066,-0.00771913,0.00546756,0.00241675
22.3167,-0.00363602,0.00645178,0.00373024
22.3267,-0.00222337,0.00352977,0.00429622
22.3367,-0.00300816,0.00402572,0.00432831
22.3467,-0.00451031,0.00623064,0.00214806
22.3567,-0.00456307,0.00452933,0.00172271
22.3667,-0.00487541,0.00478115,0.00445608
22.3767,-0.0034332,0.00355287,-0.000104051
22.3867,-0.00228109,0.00333167,0.00140894
22.3967,-0.00453186,0.00309521,0.00241856
22.4067,-0.00312073,0.00626145,0.00222289
22.4167,-0.00390703,0.00457542,0.00227153
22.4267,-0.00544121,0.00433897,0.00521947
22.4367,-0.00549547,0.00361424,0.00503954
22.4467,-0.00455811,0.00386607,0.00266252
22.4568,-0.00728301,0.00556747,0.00168945
22.4668,-0.00489644,0.00362205,0.00105223
22.4768,-0.00569912,0.00388914,0.00255138
22.4868,-0.00477776,0.00559055,0.00186869
22.4968,-0.00458899,0.00561351,0.00362754
22.5068,-0.00610938,0.00682664,0.00219749
22.5168,-0.00445614,0.00416406,0.00276647
22.5268,-0.00452732,0.00417176,0.0040375
22.5368,-0.0050717,0.00564428,0.00529342
22.5468,-0.00462444,0.00443128,0.00365035
22.5568,-0.00492504,0.00419484,0.003457
22.5668,-0.00402038,0.00517908,0.00448449
22.5768,-0.00409246,0.00446962,0.00746524
22.5869,-0.00460721,0.00446205,0.00312197
22.5969,-0.00417611,0.00471388,0.00366163
22.6069,-0.00521001,0.00325673,0.00273659
22.6169,-0.0050234,0.00448511,0.00352068
22.6269,-0.00656119,0.00351623,0.00502206
22.6369,-0.00709208,0.00523289,0.00359393
22.6469,-0.00544116,0.00426401,0.00440896
22.6569,-0.00549938,0.00646893,0.00395766
22.6669,-0.00653433,0.00550005,0.00401004
22.6769,-0.00659289,0.00550772,0.00477972
22.6869,-0.00738405,0.00527124,0.00385582
22.6969,-0.00597812,0.00575192,0.00319146
22.7069,-0.00336693,0.00431001,0.00522803
22.7169,-0.00560816,0.00529421,0.00380101
22.727,-0.00615586,0.00334875,0.00409836
22.737,-0.0059713,0.00602667,0.00315989
22.747,-0.00774002,0.00652258,0.00368639
22.757,-0.00757106,0.00337167,0.00595251
22.767,-0.00885183,0.00435585,0.005991
22.777,-0.00621129,0.00534003,0.00435116
22.787,-0.00529514,0.00583593,0.00417629
22.797,-0.00634753,0.00462285,0.00545112
22.807,-0.00663714,0.00463045,0.00524599
22.817,-0.00744571,0.00512633,0.00578867
22.827,-0.00555366,0.00464565,0.00732329
22.837,-0.00706445,0.00587393,0.00492129
22.847,-0.00492857,0.00490495,0.00476244
22.8571,-0.00793503,0.00393596,0.00673994
22.8671,-0.00969044,0.00614078,0.00481134
22.8771,-0.00706676,0.00588894,0.00343217
22.8871,-0.0073729,0.00711718,0.00444874
22.8971,-0.00696204,0.00421031,0.00673191
22.9071,-0.00920635,0.00446198,0.00480379
22.9171,-0.0085364,0.00544606,0.00485943
22.9271,-0.0078666,0.00618599,0.00613587
22.9371,-0.00768523,0.0037521,0.00500157
22.9471,-0.00896885,0.00691814,0.00453876
22.9571,-0.00781122,0.00716977,0.004839
22.9671,-0.00569245,0.00499525,0.0061617
22.9771,-0.00793781,0.00427029,0.00569923
22.9872,-0.00800133,0.00378947,0.0055268
22.9972,-0.00733258,0.00477346,0.00533922
23.0072,-0.00619095,0.00624573,0.00612831
23.0172,-0.00746034,0.0040559,0.00569681
23.0272,-0.00654788,0.00479572,0.00599784
23.0372,-0.00856523,0.00285,0.00654312
23.0472,-0.00718004,0.00407808,0.0070885
23.0572,-0.0096707,0.00286475,0.00542149
23.0672,-0.00802639,0.00336039,0.00647062
23.0772,-0.00712989,0.00532085,0.00701632
23.0872,-0.00717958,0.00555706,0.00463246
23.0972,-0.00799233,0.00362652,0.00713148
23.1072,-0.00830169,0.0053428,0.00717396
23.1172,-0.00836704,0.00510594,0.00723179
23.1273,-0.00719657,0.00511322,0.00657256
23.1373,-0.0092153,0.00438806,0.00563878
23.1473,-0.00880803,0.00390703,0.00815356
23.1573,-0.00763797,0.00196114,0.00580092
23.1673,-0.00794812,0.00514216,0.00582872
23.1773,-0.0085178,0.00441694,0.00906095
23.1873,-0.0100337,0.00466826,0.00739523
23.1973,-0.0101001,0.00467542,0.005989
23.2073,-0.00870175,0.00565913,0.0063071
23.2173,-0.00950082,0.00322487,0.00783072
23.2273,-0.0105594,0.00323198,0.00860676
23.2373,-0.0103669,0.00568046,0.00767391
23.2473,-0.0084961,0.00593168,0.00898418
23.2574,-0.00709841,0.00593874,0.00905858
23.2674,-0.0117891,0.00570164,0.00809548
23.2774,-0.00943033,0.00326727,0.009406
23.2874,-0.00974198,0.00180943,0.0097248
