time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.9563,3.19926e-05,-0.00422145,0.000508898
20.9663,-0.000868119,-0.00376913,0.000661457
20.9763,0.000200141,-0.0031032,0.000340995
20.9863,-0.000226952,-0.00361219,-9.9845e-06
20.9963,-0.000455681,-0.00265636,-2.52745e-05
21.0063,-0.000486048,-0.00278391,0.000264608
21.0163,0.000505917,-0.00275888,-0.000605171
21.0264,0.000521325,-0.00284066,-0.000300032
21.0364,0.00033837,-0.00223581,0.000996921
21.0464,0.000613176,-0.00225658,0.000966366
21.0564,0.000140306,-0.00307081,-0.000559541
21.0664,-0.000851361,-0.00246599,-0.00104786
21.0764,0.00097983,-0.00263936,0.000142278
21.0864,-2.70951e-05,-0.00259913,-0.000178196
21.0964,-0.000286345,-0.00266571,-0.000498672
21.1064,-0.000423526,-0.00238135,-0.000834407
21.1164,-5.71702e-05,-0.00400434,0.00087452
21.1264,0.000187116,-0.00393362,0.000859214
21.1364,-0.000346792,-0.00332885,0.00128641
21.1464,0.000324736,-0.00295297,-0.000147957
21.1564,0.000981006,-0.00341633,-0.000178526
21.1664,6.56298e-05,-0.00282685,-0.000117543
21.1764,-4.10359e-05,-0.00339703,-0.00107889
21.1864,-0.00028503,-0.00381464,-0.00048386
21.1964,-0.000101781,-0.00319466,0.000294277
21.2064,-0.000330518,-0.00266624,-5.67306e-05
21.2164,0.000371526,-0.00290076,-0.000804465
21.2264,-0.000345489,-0.00269279,-0.000712973
21.2364,0.000493882,-0.00384285,0.000309297
21.2464,0.000631352,-0.00303981,-0.000453701
21.2564,8.21818e-05,-0.00310652,0.000232876
21.2664,0.000692671,-0.0019678,0.000324362
21.2764,0.000524967,-0.00307211,-0.000560709
21.2864,-0.000298861,-0.00207073,0.000324226
21.2964,0.000265851,-0.00267153,0.000751399
21.3064,-0.000344356,-0.00308922,0.000888656
21.3164,-2.37834e-05,-0.00283555,0.000110389
21.3264,-0.000801837,-0.00334481,0.000354454
21.3364,-0.000572817,-0.00386934,-0.00037804
21.3464,0.000129221,-0.00352413,-0.000759584
21.3565,-0.000252108,-0.00424704,0.000308445
21.3665,-0.000175677,-0.00376451,-0.000210431
21.3765,0.000602654,-0.00296157,-0.000591981
21.3865,0.000206065,-0.00389812,4.88003e-05
21.3965,-5.31959e-05,-0.0033851,1.81976e-05
21.4065,-0.00086177,-0.00444373,-0.000454909
21.4165,0.000160698,-0.00386969,-0.000973792
