time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.9902,-0.0165517,0.0204929,-0.0184656
21.0002,-0.0172128,0.0218383,-0.0174284
21.0102,-0.0178586,0.0204524,-0.0186191
21.0202,-0.0159408,0.0204092,-0.018177
21.0302,-0.0157472,0.0210222,-0.0191693
21.0402,-0.0160571,0.0198804,-0.0185595
21.0502,-0.0137577,0.0196236,-0.0180259
21.0602,-0.0149525,0.0219455,-0.0184536
21.0702,-0.0167576,0.0203612,-0.0172639
21.0802,-0.0163501,0.0210351,-0.0198432
21.0902,-0.0168275,0.0212055,-0.018272
21.1002,-0.0156264,0.01985,-0.0169755
21.1102,-0.0150966,0.0211037,-0.0194022
21.1202,-0.015818,0.0203891,-0.0180599
21.1302,-0.016814,0.0190793,-0.0183198
21.1402,-0.0177336,0.0218284,-0.0187629
21.1502,-0.0168832,0.0209764,-0.0173138
21.1602,-0.0161395,0.0209788,-0.018123
21.1702,-0.0160365,0.0222478,-0.0197715
21.1802,-0.0164829,0.0194731,-0.0184292
21.1902,-0.0165782,0.0217491,-0.0191164
21.2002,-0.016826,0.021904,-0.0186591
21.2102,-0.0162498,0.0221963,-0.0203839
21.2202,-0.0156125,0.023694,-0.0181566
21.2302,-0.0156465,0.0220942,-0.0174552
21.2402,-0.0156346,0.022066,-0.0186306
21.2502,-0.0169349,0.0225871,-0.0213777
21.2602,-0.016572,0.0221622,-0.0184027
21.2702,-0.0164836,0.0217982,-0.0203258
21.2802,-0.0169139,0.0215105,-0.0199753
21.2902,-0.0165965,0.0205972,-0.020403
21.3002,-0.0170572,0.0214082,-0.0191522
21.3102,-0.0151833,0.0209068,-0.0172606
21.3202,-0.0191075,0.0210768,-0.0189395
21.3302,-0.0169435,0.0216587,-0.0186805
21.3402,-0.0167325,0.0212641,-0.0199017
21.3502,-0.0182456,0.0232193,-0.0204514
21.3602,-0.0181413,0.021192,-0.0182698
21.3702,-0.016923,0.0227351,-0.0210778
21.3802,-0.0190157,0.0217606,-0.0192471
21.3902,-0.0180261,0.0220219,-0.0206818
21.4002,-0.0160751,0.0225274,-0.018195
21.4102,-0.018488,0.0212934,-0.0181648
21.4202,-0.0163385,0.0223329,-0.0199656
21.4302,-0.0171338,0.021053,-0.0206831
21.4402,-0.0156096,0.0224128,-0.0196152
21.4502,-0.0154587,0.0225062,-0.0188373
21.4602,-0.0149568,0.0237897,-0.0194479
21.4702,-0.0174149,0.0223876,-0.0208367
21.4802,-0.0160735,0.0225877,-0.0211573
21.4902,-0.0158917,0.0219027,-0.020654
21.5002,-0.016076,0.0229419,-0.0201811
21.5102,-0.0187322,0.0240574,-0.019754
21.5202,-0.0175277,0.0231435,-0.0203035
21.5302,-0.0154229,0.0221532,-0.0193117
21.5402,-0.0175447,0.0225514,-0.0197391
21.5502,-0.0172097,0.0237888,-0.0191288
21.5602,-0.0176223,0.0230425,-0.0187321
21.5702,-0.0160817,0.021869,-0.0185032
21.5802,-0.0158075,0.0235945,-0.0201359
21.5902,-0.0175625,0.0236264,-0.0201968
21.6002,-0.0170592,0.0226663,-0.0201663
21.6102,-0.017395,0.0224997,-0.018564
21.6202,-0.0181274,0.0229281,-0.0196014
21.6302,-0.0182951,0.0228682,-0.01864
21.6402,-0.016006,0.0233728,-0.021661
21.6502,-0.0162346,0.0248997,-0.0203943
21.6602,-0.0168292,0.0227035,-0.020806
21.6702,-0.0171644,0.0232079,-0.0194019
21.6802,-0.0178351,0.0223696,-0.0205155
21.6902,-0.0179564,0.0245677,-0.0204083
21.7002,-0.0168263,0.0238361,-0.0192025
21.7102,-0.0176035,0.0230892,-0.0197972
21.7202,-0.017465,0.0227084,-0.020285
21.7302,-0.0183183,0.022938,-0.0197046
21.7402,-0.017676,0.0235795,-0.0206349
21.7502,-0.0178729,0.0245718,-0.0206801
21.7602,-0.0184054,0.0232906,-0.0206489
21.7702,-0.0170609,0.0218567,-0.0208161
21.7802,-0.0180966,0.0237492,-0.0207391
21.7902,-0.016111,0.0225746,-0.0201738
21.8002,-0.0178027,0.0221935,-0.0204019
21.8102,-0.0161067,0.0255048,-0.019928
21.8202,-0.0172946,0.0224838,-0.0205222
21.8302,-0.0177804,0.0251542,-0.020445
21.8402,-0.0171979,0.0245591,-0.0202457
21.8502,-0.0171799,0.0232774,-0.0211602
21.8602,-0.0157885,0.0248948,-0.0196332
21.8702,-0.016991,0.0244827,-0.0206544
21.8802,-0.0189257,0.0242231,-0.0215383
21.8902,-0.0167405,0.023643,-0.0194161
21.9002,-0.0169355,0.0233223,-0.0209407
21.9102,-0.0179695,0.0239933,-0.0216413
21.9202,-0.0185152,0.0232909,-0.0215026
21.9302,-0.0178858,0.0239313,-0.0201889
21.9402,-0.0182023,0.0234882,-0.0206909
21.9502,-0.0192053,0.0242047,-0.0197738
21.9602,-0.0169885,0.0226324,-0.0205199
21.9702,-0.0181133,0.0235166,-0.0223645
21.9802,-0.0176053,0.0224019,-0.0214778
21.9902,-0.0179211,0.0236827,-0.0205453
22.0002,-0.0166345,0.0261384,-0.0215657
22.0102,-0.0169043,0.0243825,-0.0225862
22.0202,-0.0166703,0.0234354,-0.0216992
22.0302,-0.0168634,0.0245175,-0.0218803
22.0402,-0.0179414,0.0251113,-0.0209169
22.0502,-0.0166999,0.0249116,-0.0215098
22.0602,-0.0161602,0.0222399,-0.0251849
22.0702,-0.0181075,0.0234896,-0.0197047
22.0802,-0.0186661,0.023961,-0.0206026
22.0902,-0.018309,0.0238678,-0.0201729
22.1002,-0.0167005,0.0243543,-0.0228102
22.1102,-0.0182352,0.0228877,-0.0224719
22.1202,-0.0188237,0.0252508,-0.0225455
22.1302,-0.0188169,0.02473,-0.0193995
22.1402,-0.0174977,0.0231868,-0.0214566
22.1502,-0.0189097,0.0236271,-0.0203093
22.1602,-0.0180327,0.0248761,-0.0220001
22.1702,-0.0165909,0.0242787,-0.0229736
22.1802,-0.0204743,0.0242762,-0.0212157
22.1902,-0.0181015,0.0253418,-0.0235166
22.2002,-0.0176816,0.0242711,-0.0218196
22.2102,-0.0171547,0.0243905,-0.0236778
22.2202,-0.0183976,0.0236247,-0.0220722
22.2302,-0.0182671,0.0238202,-0.0230299
22.2402,-0.0178466,0.0250837,-0.0208138
22.2502,-0.0166934,0.023631,-0.0212068
22.2602,-0.0173558,0.0238567,-0.0228205
22.2702,-0.0183538,0.0229074,-0.0225267
22.2802,-0.018436,0.0239874,-0.021302
22.2902,-0.0187775,0.0241518,-0.0206876
22.3002,-0.0168758,0.0234616,-0.0227586
22.3102,-0.0181477,0.0256704,-0.0203282
22.3202,-0.0178325,0.0251631,-0.0244742
22.3302,-0.0187531,0.0254491,-0.0225319
22.3402,-0.0179645,0.0253689,-0.0219171
22.3502,-0.0191746,0.0263566,-0.023362
22.3602,-0.0181721,0.0240178,-0.0225485
22.3702,-0.0203279,0.0249138,-0.0214603
22.3802,-0.0166394,0.0245279,-0.0223709
22.3902,-0.0187643,0.0246149,-0.0207179
22.4002,-0.0185544,0.024473,-0.0209112
22.4102,-0.0177646,0.0239037,-0.0224318
22.4202,-0.0185614,0.0267827,-0.0228537
22.4302,-0.0184883,0.0243363,-0.025488
22.4402,-0.0186591,0.0243465,-0.0193026
22.4502,-0.0164951,0.0226781,-0.0222724
22.4602,-0.016162,0.0256482,-0.0232431
22.4702,-0.0187431,0.0243611,-0.0242748
22.4802,-0.0172958,0.0249353,-0.0224378
22.4902,-0.0192203,0.0265623,-0.0215008
22.5002,-0.0175895,0.025229,-0.0232341
22.5102,-0.016584,0.025513,-0.0227394
22.5202,-0.0179891,0.0257969,-0.0231755
22.5302,-0.0181582,0.025867,-0.0229247
22.5402,-0.0177471,0.0246248,-0.0223381
22.5502,-0.017931,0.027075,-0.0236435
22.5602,-0.0178553,0.0270532,-0.0234229
22.5702,-0.0192594,0.0258258,-0.023187
22.5802,-0.0182372,0.0260936,-0.022249
22.5902,-0.0173826,0.026697,-0.0235233
22.6002,-0.0171839,0.0271935,-0.0222494
22.6102,-0.0172445,0.025462,-0.0238439
22.6202,-0.0179914,0.0270263,-0.0218526
22.6302,-0.0182041,0.0272172,-0.0228518
22.6402,-0.0164787,0.0252564,-0.0226454
22.6502,-0.0176674,0.0254012,-0.0210809
22.6602,-0.0195732,0.0244931,-0.023224
22.6702,-0.0199833,0.0250496,-0.0220407
22.6802,-0.0189284,0.0238665,-0.0228103
22.6902,-0.0182242,0.0257044,-0.0226643
22.7002,-0.01665,0.0264131,-0.0222282
22.7102,-0.0171508,0.0243293,-0.024798
22.7202,-0.0191925,0.0256175,-0.023324
22.7302,-0.0174651,0.0256391,-0.0229485
22.7402,-0.0183161,0.0250196,-0.0249532
22.7502,-0.0186482,0.025697,-0.0233873
22.7602,-0.0167369,0.0266642,-0.0231181
22.7702,-0.0164123,0.0252813,-0.0244968
22.7802,-0.0186357,0.027179,-0.0244563
22.7902,-0.0169984,0.0254907,-0.0242325
22.8002,-0.0175124,0.028334,-0.0250308
22.8102,-0.0195367,0.0256383,-0.02441
22.8202,-0.0184785,0.0241021,-0.0226446
22.8302,-0.0175879,0.0247935,-0.0247547
22.8402,-0.0180093,0.0266138,-0.0239045
22.8502,-0.0190561,0.0267251,-0.024046
22.8602,-0.018058,0.0255849,-0.0238821
22.8702,-0.0185092,0.0271149,-0.0226194
22.8802,-0.0200435,0.0256082,-0.0234317
22.8902,-0.01877,0.0263138,-0.025312
22.9002,-0.0182897,0.024822,-0.0225229
